time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-25 00:00:00+00:00,59,9,7,2
2026-02-26 00:00:00+00:00,78,22,16,1
2026-02-27 00:00:00+00:00,46,13,97,3
2026-02-28 00:00:00+00:00,119,11,4,2
2026-03-01 00:00:00+00:00,157,16,32,3
2026-03-02 00:00:00+00:00,83,15,33,3
2026-03-03 00:00:00+00:00,86,15,18,2
2026-03-04 00:00:00+00:00,99,15,32,4
2026-03-05 00:00:00+00:00,45,14,3,2
2026-03-06 00:00:00+00:00,46,7,5,4
2026-03-07 00:00:00+00:00,345,9,14,2
2026-03-08 00:00:00+00:00,278,36,74,2
2026-03-09 00:00:00+00:00,104,41,122,3
2026-03-10 00:00:00+00:00,41,12,18,2
