time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-02 00:00:00+00:00,18,4,13,2
2026-02-03 00:00:00+00:00,22,10,25,3
2026-02-04 00:00:00+00:00,106,27,27,3
2026-02-05 00:00:00+00:00,5,5,33,3
2026-02-06 00:00:00+00:00,45,16,21,2
2026-02-07 00:00:00+00:00,3,3,10,2
2026-02-08 00:00:00+00:00,28,9,20,1
2026-02-09 00:00:00+00:00,39,6,7,2
2026-02-10 00:00:00+00:00,61,6,3,1
2026-02-11 00:00:00+00:00,0,0,7,2
2026-02-12 00:00:00+00:00,64,9,21,1
2026-02-13 00:00:00+00:00,2,2,21,2
2026-02-14 00:00:00+00:00,81,15,47,1
2026-02-15 00:00:00+00:00,142,37,44,2
2026-02-16 00:00:00+00:00,526,11,8,2
2026-02-17 00:00:00+00:00,311,112,244,2
2026-02-18 00:00:00+00:00,287,15,8,2
2026-02-19 00:00:00+00:00,168,27,40,1
2026-02-20 00:00:00+00:00,29,10,12,3
2026-02-21 00:00:00+00:00,110,21,4,2
2026-02-22 00:00:00+00:00,132,19,17,2
2026-02-23 00:00:00+00:00,29,10,6,1
2026-02-24 00:00:00+00:00,188,11,18,2
2026-02-25 00:00:00+00:00,59,9,7,2
